img,idx_label,RGB.redDN,RGB.greenDN,RGB.blueDN,RGB.2G_RBi,RGB.pctR,RGB.pctG,RGB.pctB,RGB.nNDVI,RGB.totalRGB,RGB.AnyColor
2022 06 15 08 00 00.JPG, 79,184.616280,171.671088,91.239099,67.486797,0.412526,0.383600,0.203874,-0.036334,447.526467,-173.809169
2022 06 15 09 00 01.JPG, 80,184.376217,169.643154,90.582652,64.327439,0.414699,0.381562,0.203739,-0.041617,444.602022,-172.854068
2022 06 15 09 57 53.JPG, 81,172.294709,157.370803,85.210921,57.235975,0.415292,0.379320,0.205389,-0.045270,414.876433,-159.243669
2022 06 15 10 57 53.JPG, 82,178.447198,164.428426,90.216827,60.192826,0.412030,0.379661,0.208308,-0.040886,433.092451,-162.441970
2022 06 15 11 57 52.JPG, 83,175.427329,161.168380,88.225968,58.683464,0.412943,0.379379,0.207678,-0.042362,424.821677,-160.143774
2022 06 15 12 57 52.JPG, 84,164.607564,157.372165,88.146828,61.989938,0.401358,0.383716,0.214926,-0.022472,410.126556,-145.686074
2022 06 15 13 57 53.JPG, 85,160.987486,146.735900,75.431130,57.053184,0.420163,0.382968,0.196869,-0.046313,383.154517,-156.861125
2022 06 15 14 57 52.JPG, 86,158.428361,143.827826,67.926984,61.300308,0.427973,0.388532,0.183496,-0.048305,370.183172,-166.402220
2022 06 15 15 57 52.JPG, 87,168.486245,152.179172,69.931521,65.940577,0.431356,0.389607,0.179038,-0.050854,390.596937,-180.802374
2022 06 15 16 57 53.JPG, 88,172.329738,154.264812,66.405010,69.794876,0.438499,0.392532,0.168970,-0.055313,392.999560,-193.784529
2022 06 15 17 57 52.JPG, 89,168.641784,157.072240,72.134324,73.368372,0.423885,0.394804,0.181311,-0.035521,397.848348,-181.445377
2022 06 15 18 57 52.JPG, 90,157.603165,153.805892,79.312321,70.696298,0.403365,0.393646,0.202989,-0.012194,390.721379,-152.784415
